PLZ4;Distanz v. Olten
1410;138.385
1412;141.952
1412;143.492
1413;145.377
1415;134.744
1415;132.224
1416;146.354
1417;142.209
1417;142.209
1418;146.105
1420;148.55
1421;130.153
1421;132.564
1422;135.85
1423;133.353
1423;128.853
1423;133.353
1423;133.353
1423;133.353
1424;127.148
1425;122.9
1426;119.746
1426;121.225
1427;128.853
1428;119.746
1428;120.717
1428;119.083
1429;137.813
1430;146.621
1431;150.446
1431;132.028
1432;140.948
1432;141.952
1432;139.706
1433;143.781
1434;141.172
1435;147.742
1436;142.799
1436;147.059
1437;147.582
1438;147.37
1439;151.177
1441;143.683
1442;142.607
1443;144.984
1443;144.984
1443;144.984
1445;160.008
1445;148.416
1446;150.927
1450;160.008
1450;160.008
1450;160.008
1452;160.387
1452;160.008
1453;160.387
1453;148.55
1453;130.153
1453;137.682
1453;133.353
1454;160.008
1454;160.008
1462;130.376
1463;128.935
1464;130.736
1464;132.017
1468;999.999
1470;999.999
1470;121.2
1470;999.999
1470;121.2
1470;121.2
1473;999.999
1473;121.747
1474;999.999
1475;999.999
1475;999.999
1475;999.999
1482;118.207
1483;121.2
1483;120.744
1483;120.744
1483;118.207
1484;120.744
1484;120.744
1485;123.954
1485;127.161
1486;999.999
1489;999.999
1509;142.739
1510;137.198
1510;139.998
1512;138.795
1513;142.537
1513;147.766
1513;139.872
1514;135.73
1515;134.128
1515;138.385
1521;132.446
1522;133.477
1522;127.161
1522;133.477
1523;127.161
1524;127.161
1525;127.41
1525;127.161
1525;130.798
1525;127.161
1526;133.477
1526;133.477
1527;130.798
1528;130.798
1528;130.798
1529;126.244
1530;117.08
1532;118.541
1533;121.635
1534;120.744
1534;127.161
1534;126.244
1535;127.161
1536;127.161
1537;130.818
1538;129.236
1541;999.999
1541;999.999
1541;116.99
1542;999.999
1543;116.671
1544;112.697
1545;119.621
1551;117.08
1552;122.557
1553;116.845
1554;127.32
1554;127.32
1555;127.32
1562;113.654
1562;111.42
1562;117.08
1563;999.999
1564;999.999
1565;109.188
1565;111.107
1566;108.135
1566;108.135
1567;110.171
1568;110.171
1580;999.999
1580;104.689
1580;999.999
1580;104.689
1580;104.689
1583;101.296
1584;109.199
1585;109.199
1585;109.199
1585;109.199
1586;109.199
1587;109.199
1587;109.199
1588;103.726
1589;109.199
1595;98.932
1595;99.86
1607;142.126
1607;142.126
1607;142.126
1607;156.735
1607;142.126
1608;142.126
1608;142.126
1608;142.126
1608;142.617
1609;137.592
1609;137.592
1609;137.592
1610;142.126
1610;142.126
1610;142.126
1611;133.477
1612;148.122
1612;142.126
1613;136.589
1614;146.702
1614;151.735
1615;146.368
1616;148.122
1617;143.985
1617;148.122
1618;142.721
1618;143.985
1619;142.721
1623;134.128
1624;133.477
1624;133.477
1624;134.128
1624;133.477
1625;131.448
1625;131.448
1626;131.448
1626;131.448
1626;131.448
1627;128.749
1627;134.128
1628;123.509
1628;125.538
1630;124.084
1630;125.538
1632;123.509
1633;122.196
1633;122.196
1634;128.983
1634;118.563
1635;124.084
1635;129.582
1635;126.623
1636;128.885
1636;129.582
1637;136.742
1638;125.302
1642;120.558
1643;115.247
1644;115.247
1645;115.247
1646;127.636
1646;124.011
1647;127.636
1648;128.983
1649;115.731
1651;127.636
1652;131.004
1652;131.004
1653;134.268
1653;128.885
1653;133.079
1654;136.742
1656;146.297
1656;146.297
1657;128.015
1657;148.374
1658;147.439
1658;147.439
1659;153.31
1659;159.482
1659;153.31
1659;159.482
1660;153.31
1660;153.31
1660;153.31
1660;153.31
1661;129.582
1661;126.623
1663;129.582
1663;129.582
1663;129.582
1663;129.582
1665;132.214
1666;134.712
1666;132.214
1667;132.214
1669;139.048
1669;139.048
1669;139.048
1669;139.048
1669;139.048
1670;131.805
1670;131.805
1670;131.805
1673;143.24
1673;143.24
1673;144.017
1673;147.614
1673;143.24
1674;131.805
1674;141.406
1674;131.805
1675;131.805
1675;143.24
1675;131.805
1675;131.805
1676;130.605
1677;130.605
1678;130.605
1679;130.605
1680;121.023
1680;130.605
1680;116.149
1680;131.23
1681;122.102
1681;122.102
1682;131.846
1682;123.878
1682;127.161
1682;125.766
1682;131.846
1682;127.161
1682;127.161
1683;133.477
1683;133.477
1683;133.477
1684;131.23
1685;131.694
1686;121.248
1686;131.694
1687;131.694
1687;131.694
1687;131.694
1688;131.694
1688;131.694
1689;121.996
1690;115.718
1690;117.322
1690;116.149
1691;116.149
1692;118.489
1694;117.322
1694;117.322
